date,casual,member,total
2024-12-30,0,1,1
2024-12-31,92,114,206
2025-01-01,10915,40527,51442
2025-01-02,8454,63325,71779
2025-01-03,9028,66333,75361
2025-01-04,7220,48169,55389
2025-01-05,6196,45981,52177
2025-01-06,4048,54467,58515
2025-01-07,4426,60788,65214
2025-01-08,4485,62103,66588
2025-01-09,4781,62588,67369
2025-01-10,7867,73529,81396
2025-01-11,8018,56742,64760
2025-01-12,9162,60255,69417
2025-01-13,7248,79427,86675
2025-01-14,6165,76233,82398
2025-01-15,5770,74494,80264
2025-01-16,6126,74273,80399
2025-01-17,8945,78007,86952
2025-01-18,8506,53329,61835
2025-01-19,5668,38059,43727
2025-01-20,2453,30538,32991
2025-01-21,2827,47107,49934
2025-01-22,3243,52304,55547
2025-01-23,4387,60990,65377
2025-01-24,6137,65606,71743
2025-01-25,7090,54177,61267
2025-01-26,8400,58154,66554
2025-01-27,6044,74025,80069
2025-01-28,6728,83376,90104
2025-01-29,7910,84378,92288
2025-01-30,6971,80657,87628
2025-01-31,6593,62789,69382
2025-02-01,9934,62270,72204
2025-02-02,5758,45515,51273
2025-02-03,6937,79067,86004
2025-02-04,7523,87185,94708
2025-02-05,6809,81879,88688
2025-02-06,4571,53217,57788
2025-02-07,8502,80106,88608
2025-02-08,8288,55941,64229
2025-02-09,3536,32559,36095
2025-02-10,4902,64907,69809
2025-02-11,5006,70027,75033
2025-02-12,4181,61681,65862
2025-02-13,6044,69433,75477
2025-02-14,7304,69849,77153
2025-02-15,4792,36878,41670
2025-02-16,3265,26548,29813
2025-02-17,5270,47855,53125
2025-02-18,3703,54838,58541
2025-02-19,4394,61130,65524
2025-02-20,3978,54402,58380
2025-02-21,4951,56486,61437
2025-02-22,8310,55781,64091
2025-02-23,10270,59911,70181
2025-02-24,7843,82624,90467
2025-02-25,10224,97099,107323
2025-02-26,12177,103360,115537
2025-02-27,10226,91546,101772
2025-02-28,14127,96475,110602
2025-03-01,19028,78639,97667
2025-03-02,6559,48474,55033
2025-03-03,6576,72766,79342
2025-03-04,10207,94898,105105
2025-03-05,6537,65321,71858
2025-03-06,9955,91697,101652
2025-03-07,11387,86348,97735
2025-03-08,13212,69901,83113
2025-03-09,13377,67281,80658
2025-03-10,15589,102836,118425
2025-03-11,17416,116058,133474
2025-03-12,13670,107739,121409
2025-03-13,13913,103919,117832
2025-03-14,17492,103712,121204
2025-03-15,16817,75943,92760
2025-03-16,17354,72872,90226
2025-03-17,9190,76862,86052
2025-03-18,15549,107409,122958
2025-03-19,17671,113905,131576
2025-03-20,10984,87136,98120
2025-03-21,13874,89997,103871
2025-03-22,24012,87095,111107
2025-03-23,14592,68117,82709
2025-03-24,5036,52621,57657
2025-03-25,14855,108858,123713
2025-03-26,11822,99772,111594
2025-03-27,13827,102031,115858
2025-03-28,18614,102909,121523
2025-03-29,38999,104641,143640
2025-03-30,15955,71245,87200
2025-03-31,13568,89323,102891
2025-04-01,13789,107173,120962
2025-04-02,11659,101258,112917
2025-04-03,17170,111819,128989
2025-04-04,25132,118840,143972
2025-04-05,13011,64233,77244
2025-04-06,16796,74893,91689
2025-04-07,6334,65228,71562
2025-04-08,10105,95649,105754
2025-04-09,12026,101019,113045
2025-04-10,11664,96997,108661
2025-04-11,7486,64364,71850
2025-04-12,5033,38566,43599
2025-04-13,18634,77805,96439
2025-04-14,17091,101403,118494
2025-04-15,19289,113379,132668
2025-04-16,13252,98948,112200
2025-04-17,23515,113911,137426
2025-04-18,27912,106914,134826
2025-04-19,44962,110869,155831
2025-04-20,31320,86430,117750
2025-04-21,14664,101692,116356
2025-04-22,23839,134896,158735
2025-04-23,25187,139300,164487
2025-04-24,28792,142710,171502
2025-04-25,33119,135901,169020
2025-04-26,36648,93011,129659
2025-04-27,28812,92968,121780
2025-04-28,24333,128707,153040
2025-04-29,26521,143255,169776
2025-04-30,27432,147372,174804
2025-05-01,27895,141484,169379
2025-05-02,37201,142368,179569
2025-05-03,51209,128927,180136
2025-05-04,19852,71091,90943
2025-05-05,8185,67215,75400
2025-05-06,14486,104115,118601
2025-05-07,27444,146934,174378
2025-05-08,27865,143673,171538
2025-05-09,12584,76074,88658
2025-05-10,45453,126914,172367
2025-05-11,40786,111298,152084
2025-05-12,25613,135380,160993
2025-05-13,16834,116414,133248
2025-05-14,7153,60183,67336
2025-05-15,25295,137592,162887
2025-05-16,28314,126548,154862
2025-05-17,55500,135376,190876
2025-05-18,42650,114897,157547
2025-05-19,24839,127477,152316
2025-05-20,26138,140168,166306
2025-05-21,12655,95613,108268
2025-05-22,8106,59057,67163
2025-05-23,19799,99800,119599
2025-05-24,30433,87516,117949
2025-05-25,34465,85918,120383
2025-05-26,40694,100258,140952
2025-05-27,25194,136279,161473
2025-05-28,12682,89913,102595
2025-05-29,23153,125467,148620
2025-05-30,32579,136990,169569
2025-05-31,36696,113206,149902
2025-06-01,34071,106118,140189
2025-06-02,26299,133123,159422
2025-06-03,29516,150434,179950
2025-06-04,32780,159593,192373
2025-06-05,34610,152566,187176
2025-06-06,39953,144628,184581
2025-06-07,32562,95755,128317
2025-06-08,40101,110658,150759
2025-06-09,20337,113883,134220
2025-06-10,22321,122842,145163
2025-06-11,33301,159978,193279
2025-06-12,35145,157114,192259
2025-06-13,38172,148327,186499
2025-06-14,18500,69958,88458
2025-06-15,20861,78690,99551
2025-06-16,21060,118884,139944
2025-06-17,20954,125611,146565
2025-06-18,30874,147005,177879
2025-06-19,29603,111943,141546
2025-06-20,39183,138898,178081
2025-06-21,50322,121539,171861
2025-06-22,35827,99574,135401
2025-06-23,27255,128416,155671
2025-06-24,27281,137184,164465
2025-06-25,29125,141557,170682
2025-06-26,31647,144582,176229
2025-06-27,33634,133556,167190
2025-06-28,44549,118153,162702
2025-06-29,43830,111254,155084
2025-06-30,27886,125077,152963
