date,hour,casual,member,total
2024-12-30,23,0,1,1
2024-12-31,0,1,0,1
2024-12-31,10,0,1,1
2024-12-31,11,0,1,1
2024-12-31,12,2,0,2
2024-12-31,13,6,1,7
2024-12-31,14,5,2,7
2024-12-31,15,3,1,4
2024-12-31,17,0,1,1
2024-12-31,18,3,0,3
2024-12-31,19,4,1,5
2024-12-31,20,1,1,2
2024-12-31,21,0,1,1
2024-12-31,22,2,0,2
2024-12-31,23,65,104,169
2025-01-01,0,466,1143,1609
2025-01-01,1,878,1825,2703
2025-01-01,2,772,1513,2285
2025-01-01,3,384,963,1347
2025-01-01,4,197,564,761
2025-01-01,5,128,299,427
2025-01-01,6,106,477,583
2025-01-01,7,122,626,748
2025-01-01,8,145,832,977
2025-01-01,9,258,1294,1552
2025-01-01,10,490,1837,2327
2025-01-01,11,688,2494,3182
2025-01-01,12,848,2820,3668
2025-01-01,13,891,3072,3963
2025-01-01,14,857,2904,3761
2025-01-01,15,756,2983,3739
2025-01-01,16,642,2987,3629
2025-01-01,17,582,2770,3352
2025-01-01,18,421,2488,2909
2025-01-01,19,351,1959,2310
2025-01-01,20,287,1588,1875
2025-01-01,21,235,1276,1511
2025-01-01,22,217,1082,1299
2025-01-01,23,194,731,925
2025-01-02,0,130,457,587
2025-01-02,1,63,263,326
2025-01-02,2,38,158,196
2025-01-02,3,44,129,173
2025-01-02,4,33,194,227
2025-01-02,5,71,626,697
2025-01-02,6,147,1780,1927
2025-01-02,7,305,3488,3793
2025-01-02,8,346,5097,5443
2025-01-02,9,387,3507,3894
2025-01-02,10,463,2762,3225
2025-01-02,11,556,2945,3501
2025-01-02,12,602,3288,3890
2025-01-02,13,626,3549,4175
2025-01-02,14,723,4110,4833
2025-01-02,15,737,4647,5384
2025-01-02,16,681,5114,5795
2025-01-02,17,611,6020,6631
2025-01-02,18,510,5013,5523
2025-01-02,19,401,3532,3933
2025-01-02,20,298,2456,2754
2025-01-02,21,273,1817,2090
2025-01-02,22,253,1389,1642
2025-01-02,23,156,984,1140
2025-01-03,0,128,581,709
2025-01-03,1,103,301,404
2025-01-03,2,43,220,263
2025-01-03,3,37,130,167
2025-01-03,4,28,209,237
2025-01-03,5,72,659,731
2025-01-03,6,139,1682,1821
2025-01-03,7,290,3379,3669
2025-01-03,8,343,4755,5098
2025-01-03,9,352,3589,3941
2025-01-03,10,411,3017,3428
2025-01-03,11,507,3241,3748
2025-01-03,12,651,3664,4315
2025-01-03,13,704,4122,4826
2025-01-03,14,810,4586,5396
2025-01-03,15,749,4852,5601
2025-01-03,16,733,5437,6170
2025-01-03,17,664,5752,6416
2025-01-03,18,549,4834,5383
2025-01-03,19,516,3767,4283
